,title,link,description,is_full_link,is_pdf,haystack
65,statistics,https://rura.rw/index.php?id=78,,True,False,statistics https://rura.rw/index.php?id=78
66,faqs,https://rura.rw/index.php?id=224,,True,False,faqs https://rura.rw/index.php?id=224
67,transport,https://rura.rw/index.php?id=89,,True,False,transport https://rura.rw/index.php?id=89
68,overview,https://rura.rw/index.php?id=89,,True,False,overview https://rura.rw/index.php?id=89
69,sub sectors and services,https://rura.rw/index.php?id=178,,True,False,sub sectors and services https://rura.rw/index.php?id=178
70,road transport,https://rura.rw/index.php?id=81,,True,False,road transport https://rura.rw/index.php?id=81
71,freight forwarders service,https://rura.rw/index.php?id=234,,True,False,freight forwarders service https://rura.rw/index.php?id=234
72,waterways transport,https://rura.rw/index.php?id=82,,True,False,waterways transport https://rura.rw/index.php?id=82
73,regulatory instruments,https://rura.rw/index.php?id=179,,True,False,regulatory instruments https://rura.rw/index.php?id=179
74,laws and orders,https://rura.rw/index.php?id=84,,True,False,laws and orders https://rura.rw/index.php?id=84
75,regulations and guidelines,https://rura.rw/index.php?id=85,,True,False,regulations and guidelines https://rura.rw/index.php?id=85
76,board decisions,https://rura.rw/index.php?id=181,,True,False,board decisions https://rura.rw/index.php?id=181
77,sector  reports,https://rura.rw/index.php?id=185,,True,False,sector  reports https://rura.rw/index.php?id=185
78,statistics,https://rura.rw/index.php?id=86,,True,False,statistics https://rura.rw/index.php?id=86
79,faqs,https://rura.rw/index.php?id=88,,True,False,faqs https://rura.rw/index.php?id=88
80,online services,https://rura.rw/index.php?id=269,,True,False,online services https://rura.rw/index.php?id=269
81,media center,https://rura.rw/index.php?id=17,,True,False,media center https://rura.rw/index.php?id=17
82,news,https://rura.rw/index.php?id=38,,True,False,news https://rura.rw/index.php?id=38
83,upcoming events,https://rura.rw/index.php?id=37,,True,False,upcoming events https://rura.rw/index.php?id=37
84,press release,https://rura.rw/index.php?id=34,,True,False,press release https://rura.rw/index.php?id=34
85,jobs,https://rura.rw/index.php?id=33,,True,False,jobs https://rura.rw/index.php?id=33
86,announcements,https://rura.rw/index.php?id=187,,True,False,announcements https://rura.rw/index.php?id=187
87,the regulator magazine,https://rura.rw/index.php?id=8,,True,False,the regulator magazine https://rura.rw/index.php?id=8
88,public notices,https://rura.rw/index.php?id=227,,True,False,public notices https://rura.rw/index.php?id=227
